CVE_ID,CVSS_Score,CVSS_Version,Severity,Description,Published_Date,EPSS_Score,EPSS_Percentile,KEV,Vulnerability_Age_Days,Severity_Encoded,CVSS_EPSS_Interaction,KEV_EPSS_Interaction
CVE-2021-45953,9.8,3.1,CRITICAL,"Dnsmasq 2.86 has a heap-based buffer overflow in extract_name (called from hash_questions and fuzz_util.c). NOTE: the vendor's position is that CVE-2021-45951 through CVE-2021-45957 ""do not represent real vulnerabilities, to the best of our knowledge.",2022-01-01 00:15:08.593000+00:00,0.0259,0.84166,0,1702,4.0,0.25382,0.0
CVE-2021-45954,9.8,3.1,CRITICAL,"Dnsmasq 2.86 has a heap-based buffer overflow in extract_name (called from answer_auth and FuzzAuth). NOTE: the vendor's position is that CVE-2021-45951 through CVE-2021-45957 ""do not represent real vulnerabilities, to the best of our knowledge.",2022-01-01 00:15:08.637000+00:00,0.0259,0.84167,0,1702,4.0,0.25382,0.0
CVE-2021-45955,9.8,3.1,CRITICAL,"Dnsmasq 2.86 has a heap-based buffer overflow in resize_packet (called from FuzzResizePacket and fuzz_rfc1035.c) because of the lack of a proper bounds check upon pseudo header re-insertion. NOTE: the vendor's position is that CVE-2021-45951 through CVE-2021-45957 ""do not represent real vulnerabilities, to the best of our knowledge."" However, a contributor states that a security patch (mentioned in 016162.html) is needed",2022-01-01 00:15:08.677000+00:00,0.02519,0.83703,0,1702,4.0,0.24686200000000003,0.0
CVE-2021-45956,9.8,3.1,CRITICAL,"Dnsmasq 2.86 has a heap-based buffer overflow in print_mac (called from log_packet and dhcp_reply). NOTE: the vendor's position is that CVE-2021-45951 through CVE-2021-45957 ""do not represent real vulnerabilities, to the best of our knowledge.",2022-01-01 00:15:08.720000+00:00,0.0259,0.84167,0,1702,4.0,0.25382,0.0
CVE-2021-45957,9.8,3.1,CRITICAL,"Dnsmasq 2.86 has a heap-based buffer overflow in answer_request (called from FuzzAnswerTheRequest and fuzz_rfc1035.c). NOTE: the vendor's position is that CVE-2021-45951 through CVE-2021-45957 ""do not represent real vulnerabilities, to the best of our knowledge.",2022-01-01 00:15:08.767000+00:00,0.02447,0.83197,0,1702,4.0,0.239806,0.0
CVE-2021-45958,5.5,3.1,MEDIUM,"UltraJSON (aka ujson) through 5.1.0 has a stack-based buffer overflow in Buffer_AppendIndentUnchecked (called from encode). Exploitation can, for example, use a large amount of indentation.",2022-01-01 00:15:08.813000+00:00,0.0155,0.73305,0,1702,2.0,0.08524999999999999,0.0
CVE-2021-45959,,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. ConsultIDs: none. Reason: This candidate was withdrawn by its CNA. Further investigation showed that it was not a security issue. Notes: none,2022-01-01 00:15:08.860000+00:00,,,0,1702,,,
CVE-2021-45926,7.8,3.1,HIGH,MDB Tools (aka mdbtools) 0.9.2 has a stack-based buffer overflow (at 0x7ffd0c689be0) in mdb_numeric_to_string (called from mdb_xfer_bound_data and _mdb_attempt_bind).,2022-01-01 01:15:08.263000+00:00,0.00431,0.35968,0,1702,3.0,0.033617999999999995,0.0
CVE-2021-45927,7.8,3.1,HIGH,MDB Tools (aka mdbtools) 0.9.2 has a stack-based buffer overflow (at 0x7ffd6e029ee0) in mdb_numeric_to_string (called from mdb_xfer_bound_data and _mdb_attempt_bind).,2022-01-01 01:15:08.317000+00:00,0.00431,0.35968,0,1702,3.0,0.033617999999999995,0.0
CVE-2021-45928,5.5,3.1,MEDIUM,"libjxl b02d6b9, as used in libvips 8.11 through 8.11.2 and other products, has an out-of-bounds write in jxl::ModularFrameDecoder::DecodeGroup (called from jxl::FrameDecoder::ProcessACGroup and jxl::ThreadPool::RunCallState<jxl::FrameDecoder::ProcessSections).",2022-01-01 01:15:08.367000+00:00,0.00394,0.3249,0,1702,2.0,0.02167,0.0
CVE-2021-45930,5.5,3.1,MEDIUM,Qt SVG in Qt 5.0.0 through 5.15.2 and 6.0.0 through 6.2.1 has an out-of-bounds write in QtPrivate::QCommonArrayOps<QPainterPath::Element>::growAppend (called from QPainterPath::addPath and QPathClipper::intersect).,2022-01-01 01:15:08.420000+00:00,0.01354,0.69621,0,1702,2.0,0.07447,0.0
CVE-2021-45931,6.5,3.1,MEDIUM,HarfBuzz 2.9.0 has an out-of-bounds write in hb_bit_set_invertible_t::set (called from hb_sparseset_t<hb_bit_set_invertible_t>::set and hb_set_copy).,2022-01-01 01:15:08.477000+00:00,0.0178,0.76669,0,1702,2.0,0.1157,0.0
CVE-2021-45932,5.5,3.1,MEDIUM,wolfSSL wolfMQTT 1.9 has a heap-based buffer overflow (4 bytes) in MqttDecode_Publish (called from MqttClient_DecodePacket and MqttClient_HandlePacket).,2022-01-01 01:15:08.527000+00:00,0.00887,0.56775,0,1702,2.0,0.048784999999999995,0.0
CVE-2021-45933,5.5,3.1,MEDIUM,wolfSSL wolfMQTT 1.9 has a heap-based buffer overflow (8 bytes) in MqttDecode_Publish (called from MqttClient_DecodePacket and MqttClient_HandlePacket).,2022-01-01 01:15:08.577000+00:00,0.00887,0.56775,0,1702,2.0,0.048784999999999995,0.0
CVE-2021-45934,5.5,3.1,MEDIUM,wolfSSL wolfMQTT 1.9 has a heap-based buffer overflow in MqttClient_DecodePacket (called from MqttClient_HandlePacket and MqttClient_WaitType).,2022-01-01 01:15:08.630000+00:00,0.00891,0.56911,0,1702,2.0,0.049005,0.0
CVE-2021-45935,5.5,3.1,MEDIUM,Grok 9.5.0 has a heap-based buffer overflow in openhtj2k::T1OpenHTJ2K::decompress (called from std::__1::__packaged_task_func<std::__1::__bind<grk::T1DecompressScheduler::deco and std::__1::packaged_task<int).,2022-01-01 01:15:08.680000+00:00,0.00882,0.56625,0,1702,2.0,0.04851,0.0
CVE-2021-45936,5.5,3.1,MEDIUM,wolfSSL wolfMQTT 1.9 has a heap-based buffer overflow in MqttDecode_Disconnect (called from MqttClient_DecodePacket and MqttClient_WaitType).,2022-01-01 01:15:08.730000+00:00,0.00887,0.56776,0,1702,2.0,0.048784999999999995,0.0
CVE-2021-45937,5.5,3.1,MEDIUM,wolfSSL wolfMQTT 1.9 has a heap-based buffer overflow in MqttClient_DecodePacket (called from MqttClient_WaitType and MqttClient_Connect).,2022-01-01 01:15:08.780000+00:00,0.00887,0.56775,0,1702,2.0,0.048784999999999995,0.0
CVE-2021-45938,5.5,3.1,MEDIUM,wolfSSL wolfMQTT 1.9 has a heap-based buffer overflow in MqttClient_DecodePacket (called from MqttClient_WaitType and MqttClient_Unsubscribe).,2022-01-01 01:15:08.833000+00:00,0.00887,0.56775,0,1702,2.0,0.048784999999999995,0.0
CVE-2021-45939,5.5,3.1,MEDIUM,wolfSSL wolfMQTT 1.9 has a heap-based buffer overflow in MqttClient_DecodePacket (called from MqttClient_WaitType and MqttClient_Subscribe).,2022-01-01 01:15:08.887000+00:00,0.00891,0.56912,0,1702,2.0,0.049005,0.0
CVE-2021-45940,6.5,3.1,MEDIUM,libbpf 0.6.0 and 0.6.1 has a heap-based buffer overflow (4 bytes) in __bpf_object__open (called from bpf_object__open_mem and bpf-object-fuzzer.c).,2022-01-01 01:15:08.940000+00:00,0.01132,0.64153,0,1702,2.0,0.07358,0.0
CVE-2021-45941,6.5,3.1,MEDIUM,libbpf 0.6.0 and 0.6.1 has a heap-based buffer overflow (8 bytes) in __bpf_object__open (called from bpf_object__open_mem and bpf-object-fuzzer.c).,2022-01-01 01:15:08.990000+00:00,0.01097,0.63258,0,1702,2.0,0.07130500000000001,0.0
CVE-2021-45942,5.5,3.1,MEDIUM,OpenEXR 3.1.x before 3.1.4 has a heap-based buffer overflow in Imf_3_1::LineCompositeTask::execute (called from IlmThread_3_1::NullThreadPoolProvider::addTask and IlmThread_3_1::ThreadPool::addGlobalTask). NOTE: db217f2 may be inapplicable.,2022-01-01 01:15:09.043000+00:00,0.01766,0.76471,0,1702,2.0,0.09713,0.0
CVE-2021-45943,5.5,3.1,MEDIUM,GDAL 3.3.0 through 3.4.0 has a heap-based buffer overflow in PCIDSK::CPCIDSKFile::ReadFromFile (called from PCIDSK::CPCIDSKSegment::ReadFromFile and PCIDSK::CPCIDSKBinarySegment::CPCIDSKBinarySegment).,2022-01-01 01:15:09.100000+00:00,0.01491,0.72273,0,1702,2.0,0.082005,0.0
CVE-2021-41817,7.5,3.1,HIGH,"Date.parse in the date gem through 3.2.0 for Ruby allows ReDoS (regular expression Denial of Service) via a long string. The fixed versions are 3.2.1, 3.1.2, 3.0.2, and 2.0.1.",2022-01-01 05:15:08.197000+00:00,0.03222,0.87336,0,1702,3.0,0.24164999999999998,0.0
CVE-2021-44716,7.5,3.1,HIGH,net/http in Go before 1.16.12 and 1.17.x before 1.17.5 allows uncontrolled memory consumption in the header canonicalization cache via HTTP/2 requests.,2022-01-01 05:15:08.307000+00:00,0.03958,0.89691,0,1702,3.0,0.29685,0.0
CVE-2021-44717,4.8,3.1,MEDIUM,Go before 1.16.12 and 1.17.x before 1.17.5 on UNIX allows write operations to an unintended file or unintended network connection as a consequence of erroneous closing of file descriptor 0 after file-descriptor exhaustion.,2022-01-01 05:15:08.367000+00:00,0.01857,0.77692,0,1702,2.0,0.08913599999999999,0.0
CVE-2021-41819,7.5,3.1,HIGH,CGI::Cookie.parse in Ruby through 2.6.8 mishandles security prefixes in cookie names. This also affects the CGI gem through 0.3.0 for Ruby.,2022-01-01 06:15:07.293000+00:00,0.02931,0.86101,0,1702,3.0,0.219825,0.0
CVE-2021-43333,6.5,3.1,MEDIUM,The Datalogic DXU service on (for example) DL-Axist devices does not require authentication for configuration changes or disclosure of configuration settings.,2022-01-01 06:15:07.397000+00:00,0.00743,0.52193,0,1702,2.0,0.048295,0.0
CVE-2021-44852,7.8,3.1,HIGH,"An issue was discovered in BS_RCIO64.sys in Biostar RACING GT Evo 2.1.1905.1700. A low-integrity process can open the driver's device object and issue IOCTLs to read or write to arbitrary physical memory locations (or call an arbitrary address), leading to execution of arbitrary code. This is associated with 0x226040, 0x226044, and 0x226000.",2022-01-01 06:15:07.453000+00:00,0.00786,0.53578,0,1702,3.0,0.061308,0.0
CVE-2021-45960,8.8,3.1,HIGH,"In Expat (aka libexpat) before 2.4.3, a left shift by 29 (or more) places in the storeAtts function in xmlparse.c can lead to realloc misbehavior (e.g., allocating too few bytes, or only freeing memory).",2022-01-01 19:15:08.030000+00:00,0.04234,0.9031,0,1701,3.0,0.37259200000000003,0.0
CVE-2021-45972,7.1,3.1,HIGH,The giftrans function in giftrans 1.12.2 contains a stack-based buffer overflow because a value inside the input file determines the amount of data to write. This allows an attacker to overwrite up to 250 bytes outside of the allocated buffer with arbitrary data.,2022-01-01 21:15:07.730000+00:00,0.0096,0.59057,0,1701,3.0,0.06815999999999998,0.0
CVE-2021-44896,6.1,3.1,MEDIUM,DMP Roadmap before 3.0.4 allows XSS.,2022-01-01 23:15:08.647000+00:00,0.00893,0.56954,0,1701,2.0,0.054473,0.0
CVE-2022-22293,5.4,3.1,MEDIUM,"admin/limits.php in Dolibarr 7.0.2 allows HTML injection, as demonstrated by the MAIN_MAX_DECIMALS_TOT parameter.",2022-01-02 00:15:09.673000+00:00,0.00744,0.52204,0,1701,2.0,0.040176,0.0
CVE-2022-0080,9.8,3.1,CRITICAL,mruby is vulnerable to Heap-based Buffer Overflow,2022-01-02 12:15:07.690000+00:00,0.0141,0.70752,0,1701,4.0,0.13818,0.0
CVE-2021-36751,4.2,3.1,MEDIUM,"ENC DataVault 7.2.3 and before, and OEM versions, use an encryption algorithm that is vulnerable to data manipulation (without knowledge of the key). This is called ciphertext malleability. There is no data integrity mechanism to detect this manipulation.",2022-01-02 16:15:07.860000+00:00,0.00486,0.39872,0,1701,2.0,0.020412,0.0
CVE-2022-0079,5.3,3.1,MEDIUM,showdoc is vulnerable to Generation of Error Message Containing Sensitive Information,2022-01-03 03:15:07.013000+00:00,0.00969,0.59419,0,1700,2.0,0.051357,0.0
CVE-2021-25981,9.8,3.1,CRITICAL,"In Talkyard, regular versions v0.2021.20 through v0.2021.33 and dev versions v0.2021.20 through v0.2021.34, are vulnerable to Insufficient Session Expiration. This may allow an attacker to reuse the admin’s still-valid session token even when logged-out, to gain admin privileges, given the attacker is able to obtain that token (via other, hypothetical attacks)",2022-01-03 07:15:06.943000+00:00,0.02464,0.83316,0,1700,4.0,0.241472,0.0
CVE-2021-25994,8.8,3.1,HIGH,"In Userfrosting, versions v0.3.1 to v4.6.2 are vulnerable to Host Header Injection. By luring a victim application user to click on a link, an unauthenticated attacker can use the “forgot password” functionality to reset the victim’s password and successfully take over their account.",2022-01-03 07:15:07.243000+00:00,0.01549,0.73298,0,1700,3.0,0.13631200000000002,0.0
CVE-2020-11263,7.3,3.1,HIGH,"An integer overflow due to improper check performed after the address and size passed are aligned in Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:07.497000+00:00,0.00172,0.06738,0,1700,3.0,0.012556,0.0
CVE-2021-1894,7.1,3.1,HIGH,"Improper access control in TrustZone due to improper error handling while handling the signing key in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:07.587000+00:00,0.00155,0.04976,0,1700,3.0,0.011005,0.0
CVE-2021-1918,6.5,3.1,MEDIUM,"Improper handling of resource allocation in virtual machines can lead to information exposure in Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile",2022-01-03 08:15:07.650000+00:00,0.00142,0.03839,0,1700,2.0,0.00923,0.0
CVE-2021-30262,8.4,3.1,HIGH,"Improper validation of a socket state when socket events are being sent to clients can lead to invalid access of memory in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",2022-01-03 08:15:07.717000+00:00,0.00146,0.04145,0,1700,3.0,0.012264,0.0
CVE-2021-30267,7.8,3.1,HIGH,"Possible integer overflow to buffer overflow due to improper input validation in FTM ARA commands in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile",2022-01-03 08:15:07.777000+00:00,0.00148,0.04308,0,1700,3.0,0.011543999999999999,0.0
CVE-2021-30268,7.8,3.1,HIGH,"Possible heap Memory Corruption Issue due to lack of input validation when sending HWTC IQ Capture command in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",2022-01-03 08:15:07.833000+00:00,0.00154,0.04908,0,1700,3.0,0.012011999999999998,0.0
CVE-2021-30269,7.3,3.1,HIGH,"Possible null pointer dereference due to lack of TLB validation for user provided address in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:07.897000+00:00,0.00151,0.04585,0,1700,3.0,0.011023,0.0
CVE-2021-30270,7.3,3.1,HIGH,"Possible null pointer dereference in thread profile trap handler due to lack of thread ID validation before dereferencing it in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:07.957000+00:00,0.00151,0.04585,0,1700,3.0,0.011023,0.0
CVE-2021-30271,7.3,3.1,HIGH,"Possible null pointer dereference in trap handler due to lack of thread ID validation before dereferencing it in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.017000+00:00,0.00151,0.04585,0,1700,3.0,0.011023,0.0
CVE-2021-30272,7.3,3.1,HIGH,"Possible null pointer dereference in thread cache operation handler due to lack of validation of user provided input in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.073000+00:00,0.00151,0.04585,0,1700,3.0,0.011023,0.0
CVE-2021-30273,7.5,3.1,HIGH,"Possible assertion due to improper handling of IPV6 packet with invalid length in destination options header in Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables",2022-01-03 08:15:08.133000+00:00,0.00568,0.44775,0,1700,3.0,0.0426,0.0
CVE-2021-30274,8.4,3.1,HIGH,"Possible integer overflow in access control initialization interface due to lack and size and address validation in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.197000+00:00,0.00154,0.04917,0,1700,3.0,0.012936,0.0
CVE-2021-30275,9.3,3.1,CRITICAL,"Possible integer overflow in page alignment interface due to lack of address and size validation before alignment in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.257000+00:00,0.00154,0.04916,0,1700,4.0,0.014322,0.0
CVE-2021-30276,9.3,3.1,CRITICAL,"Improper access control while doing XPU re-configuration dynamically can lead to unauthorized access to a secure resource in Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.317000+00:00,0.00154,0.04915,0,1700,4.0,0.014322,0.0
CVE-2021-30278,7.1,3.1,HIGH,"Improper input validation in TrustZone memory transfer interface can lead to information disclosure in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.377000+00:00,0.00145,0.04063,0,1700,3.0,0.010294999999999999,0.0
CVE-2021-30279,7.8,3.1,HIGH,"Possible access control violation while setting current permission for VMIDs due to improper permission masking in Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.433000+00:00,0.00135,0.0326,0,1700,3.0,0.010530000000000001,0.0
CVE-2021-30282,8.4,3.1,HIGH,"Possible out of bound write in RAM partition table due to improper validation on number of partitions provided in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.490000+00:00,0.00154,0.04915,0,1700,3.0,0.012936,0.0
CVE-2021-30283,7.1,3.1,HIGH,"Possible denial of service due to improper handling of debug register trap from user applications in Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile",2022-01-03 08:15:08.550000+00:00,0.00129,0.02904,0,1700,3.0,0.009158999999999999,0.0
CVE-2021-30289,7.8,3.1,HIGH,"Possible buffer overflow due to lack of range check while processing a DIAG command for COEX management in Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables",2022-01-03 08:15:08.610000+00:00,0.00157,0.05161,0,1700,3.0,0.012246,0.0
CVE-2021-30293,7.5,3.1,HIGH,"Possible assertion due to lack of input validation in PUSCH configuration in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT",2022-01-03 08:15:08.667000+00:00,0.00568,0.44775,0,1700,3.0,0.0426,0.0
CVE-2021-30298,6.7,3.1,MEDIUM,"Possible out of bound access due to improper validation of item size and DIAG memory pools data while switching between USB and PCIE interface in Snapdragon Auto, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.727000+00:00,0.00144,0.0402,0,1700,2.0,0.009648,0.0
CVE-2021-30303,7.8,3.1,HIGH,"Possible buffer overflow due to lack of buffer length check when segmented WMI command is received in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.787000+00:00,0.00157,0.05161,0,1700,3.0,0.012246,0.0
CVE-2021-30335,8.4,3.1,HIGH,"Possible assertion in QOS request due to improper validation when multiple add or update request are received simultaneously in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.843000+00:00,0.00154,0.04915,0,1700,3.0,0.012936,0.0
CVE-2021-30336,8.4,3.1,HIGH,"Possible out of bound read due to lack of domain input validation while processing APK close session request in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Wearables",2022-01-03 08:15:08.903000+00:00,0.00154,0.04916,0,1700,3.0,0.012936,0.0
CVE-2021-30337,8.4,3.1,HIGH,"Possible use after free when process shell memory is freed using IOCTL call and process initialization is in progress in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:08.960000+00:00,0.00154,0.04916,0,1700,3.0,0.012936,0.0
CVE-2021-30348,6.5,3.1,MEDIUM,"Improper validation of LLM utility timers availability can lead to denial of service in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music",2022-01-03 08:15:09.020000+00:00,0.00226,0.13163,0,1700,2.0,0.014689999999999998,0.0
CVE-2021-30351,9.8,3.1,CRITICAL,"An out of bound memory access can occur due to improper validation of number of frames being passed during music playback in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking",2022-01-03 08:15:09.080000+00:00,0.04018,0.89836,0,1700,4.0,0.39376400000000006,0.0
CVE-2021-35093,6.5,3.1,MEDIUM,Possible memory corruption in BT controller when it receives an oversized LMP packet over 2-DH1 link and leads to denial of service in BlueCore,2022-01-03 08:15:09.147000+00:00,0.00248,0.15936,0,1700,2.0,0.01612,0.0
CVE-2021-44158,8.0,3.1,HIGH,ASUS RT-AX56U Wi-Fi Router is vulnerable to stack-based buffer overflow due to improper validation for httpd parameter length. An authenticated local area network attacker can launch arbitrary code execution to control the system or disrupt service.,2022-01-03 10:15:08.190000+00:00,0.00677,0.49755,0,1700,3.0,0.05416,0.0
CVE-2021-45916,3.5,3.1,LOW,The programming function of Shockwall system has an improper input validation vulnerability. An authenticated attacker within the local area network can send malicious response to the server to disrupt the service partially.,2022-01-03 10:15:08.327000+00:00,0.00302,0.22419,0,1700,1.0,0.01057,0.0
CVE-2021-45917,8.0,3.1,HIGH,"The server-request receiver function of Shockwall system has an improper authentication vulnerability. An authenticated attacker of an agent computer within the local area network can use the local registry information to launch server-side request forgery (SSRF) attack on another agent computer, resulting in arbitrary code execution for controlling the system or disrupting service.",2022-01-03 10:15:08.390000+00:00,0.00451,0.3753,0,1700,3.0,0.03608,0.0
CVE-2021-24680,5.4,3.1,MEDIUM,"The WP Travel Engine WordPress plugin before 5.3.1 does not escape the Description field in the Trip Destination/Activities/Trip Type and Pricing Category pages, allowing users with a role as low as editor to perform Stored Cross-Site Scripting attacks, even when the unfiltered_html capability is disallowed",2022-01-03 13:15:08.090000+00:00,0.00604,0.4649,0,1700,2.0,0.032616000000000006,0.0
