mapping_id,asset_id,asset_name,asset_type,criticality,internet_exposure,business_impact_score,environment,department_name,cve_id,cvss_score,cvss_version,severity,epss_score,epss_percentile,kev,vulnerability_age_days,severity_encoded,cvss_epss_interaction,kev_epss_interaction,remediation_hours,remediation_type,status,discovered_date
4800,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,Payments & Finance,CVE-2022-21389,10.0,3.1,CRITICAL,0.0186,0.77724,0,1684,4.0,0.186,0.0,10.0,Patch,Open,2025-11-13 08:55:24.089105
4802,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-21389,10.0,3.1,CRITICAL,0.0186,0.77724,0,1684,4.0,0.186,0.0,9.5,Patch,Open,2026-06-28 08:55:24.089105
4810,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,Payments & Finance,CVE-2022-21390,10.0,3.1,CRITICAL,0.0237,0.82625,0,1684,4.0,0.237,0.0,9.5,Patch,Open,2025-11-08 08:55:24.089629
4812,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-21390,10.0,3.1,CRITICAL,0.0237,0.82625,0,1684,4.0,0.237,0.0,40.0,Upgrade,Open,2025-10-26 08:55:24.089629
9138,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-22536,10.0,3.1,CRITICAL,0.97945,0.99906,1,1662,4.0,9.7945,0.97945,9.0,Patch,Open,2025-11-19 08:55:24.363404
9402,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20699,10.0,3.1,CRITICAL,0.72458,0.99396,1,1662,4.0,7.2458,0.72458,8.0,Patch,Open,2026-04-24 08:55:24.376395
9404,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20700,10.0,3.1,CRITICAL,0.05655,0.92423,1,1662,4.0,0.5655,0.05655,8.0,Patch,Open,2026-01-06 08:55:24.376395
9406,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20701,10.0,3.1,CRITICAL,0.09747,0.95174,1,1662,4.0,0.9747,0.09747,9.5,Patch,Open,2025-11-22 08:55:24.377398
9408,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20702,10.0,3.1,CRITICAL,0.04598,0.90991,0,1662,4.0,0.4598,0.0,8.5,Patch,Open,2026-06-19 08:55:24.377398
9410,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20703,10.0,3.1,CRITICAL,0.09203,0.94963,1,1662,4.0,0.9203,0.09203,7.5,Patch,Open,2026-06-26 08:55:24.377398
9412,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20704,10.0,3.1,CRITICAL,0.02297,0.82053,0,1662,4.0,0.2297,0.0,7.5,Patch,Open,2025-10-23 08:55:24.377398
9414,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20705,10.0,3.1,CRITICAL,0.80031,0.99584,0,1662,4.0,8.0031,0.0,40.0,Upgrade,Open,2026-05-24 08:55:24.377398
9416,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20706,10.0,3.1,CRITICAL,0.05566,0.92302,0,1662,4.0,0.5566,0.0,8.0,Patch,Open,2026-04-28 08:55:24.378415
9418,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20707,10.0,3.1,CRITICAL,0.75322,0.99477,0,1662,4.0,7.5322,0.0,40.0,Upgrade,Open,2025-11-24 08:55:24.378415
9420,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20708,10.0,3.1,CRITICAL,0.14863,0.96445,1,1662,4.0,1.4863000000000002,0.14863,40.0,Upgrade,Open,2026-04-15 08:55:24.378415
9422,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20709,10.0,3.1,CRITICAL,0.03802,0.89251,0,1662,4.0,0.3802,0.0,10.0,Patch,Open,2026-06-03 08:55:24.378415
9424,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20710,10.0,3.1,CRITICAL,0.02429,0.83067,0,1662,4.0,0.2429,0.0,8.5,Patch,Open,2026-07-08 08:55:24.378415
9426,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20711,10.0,3.1,CRITICAL,0.04915,0.91486,0,1662,4.0,0.4915,0.0,40.0,Upgrade,Open,2025-09-14 08:55:24.378415
9428,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20712,10.0,3.1,CRITICAL,0.03031,0.86543,0,1662,4.0,0.3031,0.0,40.0,Upgrade,Open,2026-06-02 08:55:24.379397
9438,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-20749,10.0,3.1,CRITICAL,0.04008,0.89818,0,1662,4.0,0.4008,0.0,9.5,Patch,Open,2026-04-02 08:55:24.379397
10409,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-46250,10.0,3.1,CRITICAL,0.01052,0.61934,0,1656,4.0,0.1052,0.0,8.5,Patch,Open,2026-01-17 08:55:24.445677
10875,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-21141,10.0,3.1,CRITICAL,0.0316,0.87068,0,1654,4.0,0.316,0.0,40.0,Upgrade,Open,2026-04-24 08:55:24.481655
10883,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-21196,10.0,3.1,CRITICAL,0.03663,0.88835,0,1654,4.0,0.3663,0.0,8.0,Patch,Open,2026-08-11 08:55:24.481655
11023,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,Payments & Finance,CVE-2022-0543,10.0,3.1,CRITICAL,0.99351,0.99937,1,1653,4.0,9.9351,0.99351,40.0,Upgrade,Open,2025-12-23 08:55:24.505910
14982,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,Payments & Finance,CVE-2022-24760,10.0,3.1,CRITICAL,0.49081,0.98795,0,1632,4.0,4.9081,0.0,40.0,Upgrade,Open,2026-01-23 08:55:24.804042
16997,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-27460,10.0,3.1,CRITICAL,0.03195,0.87208,0,1620,4.0,0.3195,0.0,40.0,Upgrade,Open,2026-03-11 08:55:24.961977
16999,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-27462,10.0,3.1,CRITICAL,0.03828,0.89327,0,1620,4.0,0.3828,0.0,9.5,Patch,Open,2026-07-21 08:55:24.961977
17000,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,Payments & Finance,CVE-2021-27464,10.0,3.1,CRITICAL,0.03481,0.88271,0,1620,4.0,0.3481,0.0,10.5,Patch,Open,2025-11-30 08:55:24.961977
17002,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-27464,10.0,3.1,CRITICAL,0.03481,0.88271,0,1620,4.0,0.3481,0.0,10.0,Patch,Open,2026-02-24 08:55:24.961977
17005,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-27466,10.0,3.1,CRITICAL,0.03886,0.89484,0,1620,4.0,0.3886,0.0,8.5,Patch,Open,2026-04-11 08:55:24.962956
17006,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,Payments & Finance,CVE-2021-27468,10.0,3.1,CRITICAL,0.03493,0.88311,0,1620,4.0,0.3493,0.0,40.0,Upgrade,Open,2026-06-06 08:55:24.963713
17008,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-27468,10.0,3.1,CRITICAL,0.03493,0.88311,0,1620,4.0,0.3493,0.0,40.0,Upgrade,Open,2026-03-26 08:55:24.963713
17011,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-27470,10.0,3.1,CRITICAL,0.03828,0.89327,0,1620,4.0,0.3828,0.0,40.0,Upgrade,Open,2026-04-04 08:55:24.963713
17013,ASSET-002,Financial Reporting Database,Database,VERY_HIGH,0,9,Production,Payments & Finance,CVE-2021-27472,10.0,3.1,CRITICAL,0.05657,0.92425,0,1620,4.0,0.5657,0.0,10.0,Patch,Open,2026-03-01 08:55:24.964716
17015,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-27472,10.0,3.1,CRITICAL,0.05657,0.92425,0,1620,4.0,0.5657,0.0,9.0,Patch,Open,2025-12-28 08:55:24.964716
17020,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-27474,10.0,3.1,CRITICAL,0.01612,0.74223,0,1620,4.0,0.1611999999999999,0.0,40.0,Upgrade,Open,2026-07-30 08:55:24.965481
17023,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2021-27476,10.0,3.1,CRITICAL,0.04111,0.90045,0,1620,4.0,0.4111,0.0,40.0,Upgrade,Open,2026-01-29 08:55:24.965601
17782,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-0735,10.0,3.1,CRITICAL,0.13227,0.96096,0,1615,4.0,1.3227,0.0,40.0,Upgrade,Open,2026-07-11 08:55:25.029464
18638,ASSET-005,Authentication & SSO Server,Server,HIGH,1,9,Production,Core Engineering,CVE-2022-24796,10.0,3.1,CRITICAL,0.03741,0.89061,0,1612,4.0,0.3741,0.0,8.5,Patch,Open,2026-07-24 08:55:25.079309
450,ASSET-029,Cloud Storage Bucket (S3/GCS),Cloud,HIGH,1,8,Production,IT Infrastructure,CVE-2021-43832,10.0,3.1,CRITICAL,0.0257,0.84041,0,1698,4.0,0.257,0.0,8.0,Patch,Open,2026-01-02 08:55:23.839899
464,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2022-21643,10.0,3.1,CRITICAL,0.01197,0.65915,0,1698,4.0,0.1197,0.0,8.5,Patch,Open,2026-01-03 08:55:23.839899
3886,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2022-21275,10.0,3.1,CRITICAL,0.01813,0.77105,0,1684,4.0,0.1813,0.0,8.0,Patch,Open,2026-06-26 08:55:24.057821
3889,ASSET-009,Load Balancer / API Gateway,Network,HIGH,1,8,Production,IT Infrastructure,CVE-2022-21275,10.0,3.1,CRITICAL,0.01813,0.77105,0,1684,4.0,0.1813,0.0,9.0,Patch,Open,2026-04-26 08:55:24.057821
3893,ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,Payments & Finance,CVE-2022-21275,10.0,3.1,CRITICAL,0.01813,0.77105,0,1684,4.0,0.1813,0.0,33.5,Upgrade,Open,2026-06-25 08:55:24.057821
4801,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2022-21389,10.0,3.1,CRITICAL,0.0186,0.77724,0,1684,4.0,0.186,0.0,40.0,Upgrade,Open,2026-08-23 08:55:24.089105
4804,ASSET-009,Load Balancer / API Gateway,Network,HIGH,1,8,Production,IT Infrastructure,CVE-2022-21389,10.0,3.1,CRITICAL,0.0186,0.77724,0,1684,4.0,0.186,0.0,10.0,Patch,Open,2026-08-29 08:55:24.089105
4808,ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,Payments & Finance,CVE-2022-21389,10.0,3.1,CRITICAL,0.0186,0.77724,0,1684,4.0,0.186,0.0,7.0,Patch,Open,2026-05-25 08:55:24.089105
4811,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2022-21390,10.0,3.1,CRITICAL,0.0237,0.82625,0,1684,4.0,0.237,0.0,8.0,Patch,Open,2026-06-29 08:55:24.089629
4814,ASSET-009,Load Balancer / API Gateway,Network,HIGH,1,8,Production,IT Infrastructure,CVE-2022-21390,10.0,3.1,CRITICAL,0.0237,0.82625,0,1684,4.0,0.237,0.0,9.5,Patch,Open,2025-09-12 08:55:24.089629
4818,ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,Payments & Finance,CVE-2022-21390,10.0,3.1,CRITICAL,0.0237,0.82625,0,1684,4.0,0.237,0.0,38.5,Upgrade,Open,2025-09-15 08:55:24.089629
9137,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2022-22536,10.0,3.1,CRITICAL,0.97945,0.99906,1,1662,4.0,9.7945,0.97945,40.0,Upgrade,Open,2026-05-21 08:55:24.363404
9139,ASSET-007,Order Management System,Server,HIGH,0,8,Production,Core Engineering,CVE-2022-22536,10.0,3.1,CRITICAL,0.97945,0.99906,1,1662,4.0,9.7945,0.97945,7.0,Patch,Open,2026-06-10 08:55:24.363404
9143,ASSET-025,HR & Payroll System,Server,HIGH,0,8,Production,Human Resources,CVE-2022-22536,10.0,3.1,CRITICAL,0.97945,0.99906,1,1662,4.0,9.7945,0.97945,7.5,Patch,Open,2026-04-05 08:55:24.363404
9144,ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,Payments & Finance,CVE-2022-22536,10.0,3.1,CRITICAL,0.97945,0.99906,1,1662,4.0,9.7945,0.97945,6.0,Patch,Open,2026-08-02 08:55:24.363404
10885,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2022-21215,10.0,3.1,CRITICAL,0.01412,0.70802,0,1654,4.0,0.1412,0.0,40.0,Upgrade,Open,2026-04-30 08:55:24.482738
10888,ASSET-024,Developer Secrets Manager,Server,HIGH,0,8,Development,DevOps,CVE-2022-21215,10.0,3.1,CRITICAL,0.01412,0.70802,0,1654,4.0,0.1412,0.0,38.5,Upgrade,Open,2025-08-31 08:55:24.482738
10889,ASSET-029,Cloud Storage Bucket (S3/GCS),Cloud,HIGH,1,8,Production,IT Infrastructure,CVE-2022-21215,10.0,3.1,CRITICAL,0.01412,0.70802,0,1654,4.0,0.1412,0.0,40.0,Upgrade,Open,2026-06-18 08:55:24.482738
11026,ASSET-024,Developer Secrets Manager,Server,HIGH,0,8,Development,DevOps,CVE-2022-0543,10.0,3.1,CRITICAL,0.99351,0.99937,1,1653,4.0,9.9351,0.99351,36.5,Upgrade,Open,2026-02-03 08:55:24.505910
11912,ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,Payments & Finance,CVE-2020-10640,10.0,3.1,CRITICAL,0.03107,0.86839,0,1647,4.0,0.3107,0.0,6.5,Patch,Open,2026-06-14 08:55:24.565205
13102,ASSET-007,Order Management System,Server,HIGH,0,8,Production,Core Engineering,CVE-2022-22947,10.0,3.1,CRITICAL,0.98253,0.99911,1,1640,4.0,9.8253,0.98253,6.5,Patch,Open,2026-04-17 08:55:24.647919
13103,ASSET-009,Load Balancer / API Gateway,Network,HIGH,1,8,Production,IT Infrastructure,CVE-2022-22947,10.0,3.1,CRITICAL,0.98253,0.99911,1,1640,4.0,9.8253,0.98253,40.0,Upgrade,Open,2026-03-02 08:55:24.647919
13105,ASSET-029,Cloud Storage Bucket (S3/GCS),Cloud,HIGH,1,8,Production,IT Infrastructure,CVE-2022-22947,10.0,3.1,CRITICAL,0.98253,0.99911,1,1640,4.0,9.8253,0.98253,40.0,Upgrade,Open,2025-09-21 08:55:24.647919
14984,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2022-24760,10.0,3.1,CRITICAL,0.49081,0.98795,0,1632,4.0,4.9081,0.0,40.0,Upgrade,Open,2026-02-27 08:55:24.804042
14986,ASSET-009,Load Balancer / API Gateway,Network,HIGH,1,8,Production,IT Infrastructure,CVE-2022-24760,10.0,3.1,CRITICAL,0.49081,0.98795,0,1632,4.0,4.9081,0.0,9.5,Patch,Open,2026-08-24 08:55:24.804042
14991,ASSET-025,HR & Payroll System,Server,HIGH,0,8,Production,Human Resources,CVE-2022-24760,10.0,3.1,CRITICAL,0.49081,0.98795,0,1632,4.0,4.9081,0.0,7.5,Patch,Open,2026-05-31 08:55:24.804042
14993,ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,Payments & Finance,CVE-2022-24760,10.0,3.1,CRITICAL,0.49081,0.98795,0,1632,4.0,4.9081,0.0,6.5,Patch,Open,2026-04-20 08:55:24.804042
17483,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2022-24783,10.0,3.1,CRITICAL,0.01147,0.64535,0,1618,4.0,0.1147,0.0,8.5,Patch,Open,2025-11-04 08:55:25.007394
17485,ASSET-007,Order Management System,Server,HIGH,0,8,Production,Core Engineering,CVE-2022-24783,10.0,3.1,CRITICAL,0.01147,0.64535,0,1618,4.0,0.1147,0.0,32.5,Upgrade,Open,2026-03-05 08:55:25.007394
17489,ASSET-028,ERP System (SAP),Server,HIGH,0,8,Production,Payments & Finance,CVE-2022-24783,10.0,3.1,CRITICAL,0.01147,0.64535,0,1618,4.0,0.1147,0.0,32.0,Upgrade,Open,2025-11-04 08:55:25.007394
17622,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2021-46433,10.0,3.1,CRITICAL,0.01126,0.63999,0,1616,4.0,0.1125999999999999,0.0,40.0,Upgrade,Open,2026-08-22 08:55:25.018451
17785,ASSET-024,Developer Secrets Manager,Server,HIGH,0,8,Development,DevOps,CVE-2022-0735,10.0,3.1,CRITICAL,0.13227,0.96096,0,1615,4.0,1.3227,0.0,7.0,Patch,Open,2025-10-19 08:55:25.029464
18637,ASSET-004,Public Web Server,Server,HIGH,1,8,Production,Core Engineering,CVE-2022-24796,10.0,3.1,CRITICAL,0.03741,0.89061,0,1612,4.0,0.3741,0.0,40.0,Upgrade,Open,2026-08-29 08:55:25.079309
18640,ASSET-009,Load Balancer / API Gateway,Network,HIGH,1,8,Production,IT Infrastructure,CVE-2022-24796,10.0,3.1,CRITICAL,0.03741,0.89061,0,1612,4.0,0.3741,0.0,9.5,Patch,Open,2025-11-17 08:55:25.079309
18648,ASSET-029,Cloud Storage Bucket (S3/GCS),Cloud,HIGH,1,8,Production,IT Infrastructure,CVE-2022-24796,10.0,3.1,CRITICAL,0.03741,0.89061,0,1612,4.0,0.3741,0.0,10.0,Patch,Open,2025-11-25 08:55:25.079309
446,ASSET-006,Product Catalogue API Server,Server,HIGH,1,7,Production,Core Engineering,CVE-2021-43832,10.0,3.1,CRITICAL,0.0257,0.84041,0,1698,4.0,0.257,0.0,8.5,Patch,Open,2026-02-21 08:55:23.839899
3888,ASSET-006,Product Catalogue API Server,Server,HIGH,1,7,Production,Core Engineering,CVE-2022-21275,10.0,3.1,CRITICAL,0.01813,0.77105,0,1684,4.0,0.1813,0.0,7.5,Patch,Open,2026-02-06 08:55:24.057821
3890,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-21275,10.0,3.1,CRITICAL,0.01813,0.77105,0,1684,4.0,0.1813,0.0,8.0,Patch,Open,2025-09-28 08:55:24.057821
4803,ASSET-006,Product Catalogue API Server,Server,HIGH,1,7,Production,Core Engineering,CVE-2022-21389,10.0,3.1,CRITICAL,0.0186,0.77724,0,1684,4.0,0.186,0.0,10.0,Patch,Open,2025-09-16 08:55:24.089105
4805,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-21389,10.0,3.1,CRITICAL,0.0186,0.77724,0,1684,4.0,0.186,0.0,40.0,Upgrade,Open,2025-11-09 08:55:24.089105
4813,ASSET-006,Product Catalogue API Server,Server,HIGH,1,7,Production,Core Engineering,CVE-2022-21390,10.0,3.1,CRITICAL,0.0237,0.82625,0,1684,4.0,0.237,0.0,10.0,Patch,Open,2026-02-05 08:55:24.089629
4815,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-21390,10.0,3.1,CRITICAL,0.0237,0.82625,0,1684,4.0,0.237,0.0,8.0,Patch,Open,2025-10-07 08:55:24.089629
7945,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2021-21960,10.0,3.1,CRITICAL,0.02639,0.84487,0,1667,4.0,0.2639,0.0,40.0,Upgrade,Open,2026-05-26 08:55:24.278359
7947,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2021-21961,10.0,3.1,CRITICAL,0.02639,0.84486,0,1667,4.0,0.2639,0.0,40.0,Upgrade,Open,2026-08-27 08:55:24.279296
9403,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20699,10.0,3.1,CRITICAL,0.72458,0.99396,1,1662,4.0,7.2458,0.72458,7.5,Patch,Open,2026-07-12 08:55:24.376395
9405,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20700,10.0,3.1,CRITICAL,0.05655,0.92423,1,1662,4.0,0.5655,0.05655,9.5,Patch,Open,2026-04-06 08:55:24.376395
9407,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20701,10.0,3.1,CRITICAL,0.09747,0.95174,1,1662,4.0,0.9747,0.09747,8.5,Patch,Open,2025-09-30 08:55:24.377398
9409,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20702,10.0,3.1,CRITICAL,0.04598,0.90991,0,1662,4.0,0.4598,0.0,8.5,Patch,Open,2025-09-11 08:55:24.377398
9411,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20703,10.0,3.1,CRITICAL,0.09203,0.94963,1,1662,4.0,0.9203,0.09203,8.0,Patch,Open,2026-08-28 08:55:24.377398
9413,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20704,10.0,3.1,CRITICAL,0.02297,0.82053,0,1662,4.0,0.2297,0.0,40.0,Upgrade,Open,2025-11-11 08:55:24.377398
9415,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20705,10.0,3.1,CRITICAL,0.80031,0.99584,0,1662,4.0,8.0031,0.0,9.5,Patch,Open,2025-09-03 08:55:24.377398
9417,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20706,10.0,3.1,CRITICAL,0.05566,0.92302,0,1662,4.0,0.5566,0.0,40.0,Upgrade,Open,2025-11-22 08:55:24.378415
9419,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20707,10.0,3.1,CRITICAL,0.75322,0.99477,0,1662,4.0,7.5322,0.0,8.5,Patch,Open,2026-01-16 08:55:24.378415
9421,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20708,10.0,3.1,CRITICAL,0.14863,0.96445,1,1662,4.0,1.4863000000000002,0.14863,40.0,Upgrade,Open,2025-08-31 08:55:24.378415
9423,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20709,10.0,3.1,CRITICAL,0.03802,0.89251,0,1662,4.0,0.3802,0.0,40.0,Upgrade,Open,2025-09-19 08:55:24.378415
9425,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20710,10.0,3.1,CRITICAL,0.02429,0.83067,0,1662,4.0,0.2429,0.0,10.0,Patch,Open,2026-06-11 08:55:24.378415
9427,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20711,10.0,3.1,CRITICAL,0.04915,0.91486,0,1662,4.0,0.4915,0.0,8.0,Patch,Open,2026-01-15 08:55:24.378415
9429,ASSET-010,VPN Gateway,Network,HIGH,1,7,Production,IT Infrastructure,CVE-2022-20712,10.0,3.1,CRITICAL,0.03031,0.86543,0,1662,4.0,0.3031,0.0,8.0,Patch,Open,2026-01-16 08:55:24.379397
